LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
11,PM-ONFF,0.6519333333099999,0.2709371111407023,0.2613886666837,0.2816791111414022,0.1635171111337022,0.3103244444766023,0.1778397778013022,0.3556795555667978,0.2649693333506001,0.2709371111407023,0.3103244444766023,0.2876468888956978,0.2661628888942978,0.2315497778048022,0.2291626666816,0.2387111111386022,0.2757113333513001,0.2160335555576978,0.2769048888949978,0.3055502222301979,0.3282277778111023,0.2792920000182001,0.2363240000154
12,PM-BD,0.588,0.3193133333474,0.30806,0.3319733333474,0.1927133333474,0.3657333333474,0.2095933333474,0.4191866666526,0.31228,0.3193133333474,0.3657333333474,0.3390066666526,0.3136866666526,0.2728933333474,0.27008,0.2813333333474,0.32494,0.2546066666526,0.3263466666526,0.3601066666526,0.3868333333474,0.32916,0.27852
13,PM-RLO,0.6859999999999999,0.2451600000108,0.23652,0.2548800000108,0.1479600000108,0.2808000000108001,0.1609200000108,0.3218399999892,0.23976,0.2451600000108,0.2808000000108001,0.2602799999892,0.2408399999892,0.2095200000108,0.20736,0.2160000000108,0.24948,0.1954799999892,0.2505599999892,0.2764799999892001,0.2970000000108,0.25272,0.21384
14,MA-FRF,0.97,0.030266666668,0.0292,0.031466666668,0.018266666668,0.034666666668,0.019866666668,0.039733333332,0.0296,0.030266666668,0.034666666668,0.032133333332,0.029733333332,0.025866666668,0.0256,0.026666666668,0.0308,0.024133333332,0.030933333332,0.034133333332,0.036666666668,0.0312,0.0264
15,MA-SVF,0.96,0.037833333335,0.0365,0.039333333335,0.022833333335,0.043333333335,0.024833333335,0.049666666665,0.037,0.037833333335,0.043333333335,0.040166666665,0.037166666665,0.032333333335,0.032,0.033333333335,0.0385,0.030166666665,0.038666666665,0.042666666665,0.045833333335,0.039,0.033
16,MA-MG,0.99,0.015133333334,0.0146,0.015733333334,0.009133333334,0.017333333334,0.009933333334,0.019866666666,0.0148,0.015133333334,0.017333333334,0.016066666666,0.014866666666,0.012933333334,0.0128,0.013333333334,0.0154,0.012066666666,0.015466666666,0.017066666666,0.018333333334,0.0156,0.0132
17,MA-FLF,0.98,0.022700000001,0.0219,0.023600000001,0.013700000001,0.026000000001,0.014900000001,0.029799999999,0.0222,0.022700000001,0.026000000001,0.024099999999,0.022299999999,0.019400000001,0.0192,0.020000000001,0.0231,0.018099999999,0.023199999999,0.025599999999,0.027500000001,0.0234,0.0198
18,MA-WS,0.9566666667,0.0403555555321111,0.038933333309,0.0419555555311111,0.0243555555421111,0.0462222221951111,0.0264888888741111,0.0529777777428888,0.039466666642,0.0403555555321111,0.0462222221951111,0.0428444444158888,0.0396444444178888,0.0344888888691111,0.034133333312,0.0355555555351111,0.041066666641,0.0321777777558888,0.0412444444168888,0.0455111110808888,0.0488888888601111,0.041599999974,0.035199999978
19,MA-WE,0.9733333333,0.0277444444708888,0.0267666666909999,0.0288444444718888,0.0167444444608888,0.0317777778078888,0.0182111111288888,0.036422222254111,0.0271333333579999,0.0277444444708888,0.0317777778078888,0.029455555581111,0.027255555579111,0.0237111111338888,0.0234666666879999,0.0244444444678888,0.0282333333589999,0.022122222241111,0.028355555580111,0.031288888916111,0.0336111111428888,0.0286000000259999,0.0242000000219999
20,MA-GR,0.9366666667,0.0554888888661111,0.053533333309,0.0576888888651111,0.0334888888761111,0.0635555555291111,0.0364222222081111,0.0728444444088889,0.054266666642,0.0554888888661111,0.0635555555291111,0.0589111110818889,0.0545111110838889,0.0474222222031111,0.046933333312,0.0488888888691111,0.056466666641,0.0442444444218889,0.0567111110828889,0.0625777777468889,0.0672222221941111,0.057199999974,0.048399999978
21,MA-SF,0.8966666667,0.0857555555341111,0.082733333309,0.0891555555331111,0.0517555555441111,0.0982222221971111,0.0562888888761111,0.1125777777408889,0.083866666642,0.0857555555341111,0.0982222221971111,0.0910444444138889,0.0842444444158889,0.0732888888711111,0.072533333312,0.0755555555371111,0.087266666641,0.0683777777538889,0.0876444444148889,0.0967111110788889,0.1038888888621111,0.088399999974,0.074799999978
22,MA-RO,0.92,0.0681000000029999,0.0656999999999999,0.0708000000029999,0.0411000000029999,0.0780000000029999,0.0447000000029999,0.0893999999969999,0.0665999999999999,0.0681000000029999,0.0780000000029999,0.0722999999969999,0.0668999999969999,0.0582000000029999,0.0575999999999999,0.0600000000029999,0.0692999999999999,0.0542999999969999,0.0695999999969999,0.0767999999969999,0.0825000000029999,0.0701999999999999,0.0593999999999999
23,MA-HS,0.93,0.0605333333359999,0.0583999999999999,0.0629333333359999,0.0365333333359999,0.0693333333359999,0.0397333333359999,0.0794666666639999,0.0591999999999999,0.0605333333359999,0.0693333333359999,0.0642666666639999,0.0594666666639999,0.0517333333359999,0.0511999999999999,0.0533333333359999,0.0615999999999999,0.0482666666639999,0.0618666666639999,0.0682666666639999,0.0733333333359999,0.0623999999999999,0.0527999999999999
24,MA-ONFF,0.9313333333,0.0595244444722888,0.0574266666909999,0.0618844444732888,0.0359244444622888,0.0681777778092888,0.0390711111302888,0.078142222252711,0.0582133333579999,0.0595244444722888,0.0681777778092888,0.0631955555797111,0.058475555577711,0.0508711111352888,0.0503466666879999,0.0524444444692888,0.0605733333589999,0.0474622222397111,0.0608355555787111,0.0671288889147111,0.0721111111442888,0.0613600000259999,0.0519200000219999
25,MA-BD,0.84,0.128633333339,0.1241,0.133733333339,0.077633333339,0.147333333339,0.084433333339,0.168866666661,0.1258,0.128633333339,0.147333333339,0.136566666661,0.126366666661,0.109933333339,0.1088,0.113333333339,0.1309,0.102566666661,0.131466666661,0.145066666661,0.155833333339,0.1326,0.1122
26,MA-RLO,0.98,0.022700000001,0.0219,0.023600000001,0.013700000001,0.026000000001,0.014900000001,0.029799999999,0.0222,0.022700000001,0.026000000001,0.024099999999,0.022299999999,0.019400000001,0.0192,0.020000000001,0.0231,0.018099999999,0.023199999999,0.025599999999,0.027500000001,0.0234,0.0198
