LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
70,PN-WS,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
71,PN-WE,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
72,PN-GR,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
73,PN-SF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
74,PN-RO,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
75,PN-HS,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
76,PN-ONFF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
77,PN-BD,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
78,PN-RLO,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
79,PS,0.955,0.055,0.055,0.055,0.044,0.055,0.0275,0.055,0.055,0.055,0.055,0.055,0.055,0.0495,0.052525,0.052525,0.055,0.047025,0.055,0.055,0.055,0.055,0.0495
80,SY,0.555,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.364,0.4549999999999999,0.2274999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4095,0.4345249999999999,0.4345249999999999,0.4549999999999999,0.3890249999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4095
81,SC,0.655,0.355,0.355,0.355,0.284,0.355,0.1775,0.355,0.355,0.355,0.355,0.355,0.355,0.3195,0.3390249999999999,0.3390249999999999,0.355,0.303525,0.355,0.355,0.355,0.355,0.3195
82,RC,0.6,0.41,0.41,0.41,0.328,0.41,0.205,0.41,0.41,0.41,0.41,0.41,0.41,0.369,0.39155,0.39155,0.41,0.35055,0.41,0.41,0.41,0.41,0.369
83,CT,0.6,0.41,0.41,0.41,0.328,0.41,0.205,0.41,0.41,0.41,0.41,0.41,0.41,0.369,0.39155,0.39155,0.41,0.35055,0.41,0.41,0.41,0.41,0.369
84,OTCR,0.765,0.245,0.245,0.245,0.196,0.245,0.1225,0.245,0.245,0.245,0.245,0.245,0.245,0.2205,0.233975,0.233975,0.245,0.209475,0.245,0.245,0.245,0.245,0.2205
85,CF,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
86,CI,0.7,0.31,0.31,0.31,0.248,0.31,0.155,0.31,0.31,0.31,0.31,0.31,0.31,0.2790000000000001,0.29605,0.29605,0.31,0.26505,0.31,0.31,0.31,0.31,0.2790000000000001
87,PO,0.755,0.255,0.255,0.255,0.204,0.255,0.1275,0.255,0.255,0.255,0.255,0.255,0.255,0.2295,0.243525,0.243525,0.255,0.218025,0.255,0.255,0.255,0.255,0.2295
88,OPCR,0.755,0.255,0.255,0.255,0.204,0.255,0.1275,0.255,0.255,0.255,0.255,0.255,0.255,0.2295,0.243525,0.243525,0.255,0.218025,0.255,0.255,0.255,0.255,0.2295
89,FP,0.755,0.255,0.255,0.255,0.204,0.255,0.1275,0.255,0.255,0.255,0.255,0.255,0.255,0.2295,0.243525,0.243525,0.255,0.218025,0.255,0.255,0.255,0.255,0.2295
90,MU,0.955,0.055,0.055,0.055,0.044,0.055,0.0275,0.055,0.055,0.055,0.055,0.055,0.055,0.0495,0.052525,0.052525,0.055,0.047025,0.055,0.055,0.055,0.055,0.0495
91,BUE,0.955,0.055,0.055,0.055,0.044,0.055,0.0275,0.055,0.055,0.055,0.055,0.055,0.055,0.0495,0.052525,0.052525,0.055,0.047025,0.055,0.055,0.055,0.055,0.0495
92,MI,0.1,0.91,0.91,0.91,0.7280000000000001,0.91,0.455,0.91,0.91,0.91,0.91,0.91,0.91,0.8190000000000001,0.86905,0.86905,0.91,0.77805,0.91,0.91,0.91,0.91,0.8190000000000001
93,ONVA,0.55,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.368,0.4599999999999999,0.2299999999999999,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.414,0.4392999999999999,0.4392999999999999,0.4599999999999999,0.3933,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.414
94,AQ,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
100,RVL,0.755,0.255,0.255,0.255,0.204,0.255,0.1275,0.255,0.255,0.255,0.255,0.255,0.255,0.2295,0.243525,0.243525,0.255,0.218025,0.255,0.255,0.255,0.255,0.2295
101,RLT,0.81,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1599999999999999,0.1999999999999999,0.0999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1799999999999999,0.1909999999999999,0.1909999999999999,0.1999999999999999,0.1709999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1799999999999999
102,RMT,0.61,0.4,0.4,0.4,0.32,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.36,0.382,0.382,0.4,0.342,0.4,0.4,0.4,0.4,0.36
103,RHT,0.2,0.81,0.81,0.81,0.6480000000000001,0.81,0.405,0.81,0.81,0.81,0.81,0.81,0.81,0.7290000000000001,0.7735500000000001,0.7735500000000001,0.81,0.69255,0.81,0.81,0.81,0.81,0.7290000000000001
104,RRD,0.555,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.364,0.4549999999999999,0.2274999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4095,0.4345249999999999,0.4345249999999999,0.4549999999999999,0.3890249999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4549999999999999,0.4095
105,EGI,0.655,0.355,0.355,0.355,0.284,0.355,0.1775,0.355,0.355,0.355,0.355,0.355,0.355,0.3195,0.3390249999999999,0.3390249999999999,0.355,0.303525,0.355,0.355,0.355,0.355,0.3195
